character,name,url,in_degree,out_degree,in_rank,out_rank,rank_gap
William_Burnside_(character),William Burnside (character),https://en.wikipedia.org/wiki/William_Burnside_(character),3,4,161,174,13
Anne_Weying,She-Venom (Patricia Robertson),https://en.wikipedia.org/wiki/Anne_Weying,3,4,134,146,12
Radian_(Morituri),Radian (Morituri),https://en.wikipedia.org/wiki/Radian_(Morituri),4,6,127,115,12
Box_(comics),Box (comics),https://en.wikipedia.org/wiki/Box_(comics),1,2,210,221,11
Man-Thing,Man-Thing,https://en.wikipedia.org/wiki/Man-Thing,15,12,30,41,11
Moon_Knight,Moon Knight,https://en.wikipedia.org/wiki/Moon_Knight,22,14,16,27,11
Quicksilver_(Marvel_Comics),Quicksilver (Marvel Comics),https://en.wikipedia.org/wiki/Quicksilver_(Marvel_Comics),10,10,50,61,11
Wolverine_(character),Wolverine (character),https://en.wikipedia.org/wiki/Wolverine_(character),60,17,3,14,11
Bucky_(Marvel_Comics),Bucky (Marvel Comics),https://en.wikipedia.org/wiki/Bucky_(Marvel_Comics),9,9,55,65,10
Cammi_(character),Cammi (character),https://en.wikipedia.org/wiki/Cammi_(character),2,3,168,178,10
Caretaker_(comics),Caretaker (comics),https://en.wikipedia.org/wiki/Caretaker_(comics),2,3,169,179,10
Hercules_(Marvel_Comics),Hercules (Marvel Comics),https://en.wikipedia.org/wiki/Hercules_(Marvel_Comics),19,17,22,12,10
Living_Lightning,Living Lightning,https://en.wikipedia.org/wiki/Living_Lightning,3,5,145,135,10
Ronin_(Marvel_Comics),Ronin (Marvel Comics),https://en.wikipedia.org/wiki/Ronin_(Marvel_Comics),4,5,129,139,10
Spider-Woman_(Gwen_Stacy),Spider-Woman (Gwen Stacy),https://en.wikipedia.org/wiki/Spider-Woman_(Gwen_Stacy),12,14,40,30,10
Star_Brand,Star Brand,https://en.wikipedia.org/wiki/Star_Brand,8,11,66,56,10
Tarantula_(Marvel_Comics),Tarantula (Marvel Comics),https://en.wikipedia.org/wiki/Tarantula_(Marvel_Comics),6,9,86,76,10
Devil_Hulk,Devil Hulk,https://en.wikipedia.org/wiki/Devil_Hulk,1,2,216,225,9
Jubilee_(character),Jubilee (character),https://en.wikipedia.org/wiki/Jubilee_(character),10,10,49,58,9
Sean_and_Chris,Sean and Chris,https://en.wikipedia.org/wiki/Sean_and_Chris,0,0,289,298,9
Spider-Woman,Spider-Woman,https://en.wikipedia.org/wiki/Spider-Woman,10,12,53,44,9
Emma_Frost,Emma Frost,https://en.wikipedia.org/wiki/Emma_Frost,21,17,19,11,8
Fandral,Fandral,https://en.wikipedia.org/wiki/Fandral,1,2,219,227,8
Phyla-Vell,Phyla-Vell,https://en.wikipedia.org/wiki/Phyla-Vell,7,8,75,83,8
Blue_Eagle_(character),Blue Eagle (character),https://en.wikipedia.org/wiki/Blue_Eagle_(character),0,1,250,257,7
G._W._Bridge,G. W. Bridge,https://en.wikipedia.org/wiki/G._W._Bridge,1,2,222,229,7
Mayday_Parker,Mayday Parker,https://en.wikipedia.org/wiki/Mayday_Parker,14,14,33,26,7
Timeslip_(comics),Timeslip (comics),https://en.wikipedia.org/wiki/Timeslip_(comics),1,2,242,249,7
Will_o'_the_Wisp_(comics),Will o' the Wisp (comics),https://en.wikipedia.org/wiki/Will_o%27_the_Wisp_(comics),1,2,245,252,7
Doctor_Strange,Doctor Strange,https://en.wikipedia.org/wiki/Doctor_Strange,50,17,4,10,6
Redneck_(comics),Redneck (comics),https://en.wikipedia.org/wiki/Redneck_(comics),0,1,284,278,6
Solarman,Solarman,https://en.wikipedia.org/wiki/Solarman,0,0,293,299,6
Black_Cat_(Marvel_Comics),Black Cat (Marvel Comics),https://en.wikipedia.org/wiki/Black_Cat_(Marvel_Comics),21,14,17,22,5
Mahr_Vehl,Mahr Vehl,https://en.wikipedia.org/wiki/Mahr_Vehl,0,1,277,272,5
Moonglow_(comics),Moonglow (comics),https://en.wikipedia.org/wiki/Moonglow_(comics),0,1,280,275,5
Captain_Ultra,Captain Ultra,https://en.wikipedia.org/wiki/Captain_Ultra,0,1,254,258,4
Iron_Fist_(character),Iron Fist (character),https://en.wikipedia.org/wiki/Iron_Fist_(character),21,16,20,16,4
Mark_Hazzard:_Merc,Mark Hazzard: Merc,https://en.wikipedia.org/wiki/Mark_Hazzard:_Merc,0,1,278,274,4
NFL_SuperPro,Phil Grayfield,https://en.wikipedia.org/wiki/NFL_SuperPro,0,1,281,277,4
Shear_(character),Shear (character),https://en.wikipedia.org/wiki/Shear_(character),1,2,237,241,4
Doctor_Nemesis,Doctor Nemesis,https://en.wikipedia.org/wiki/Doctor_Nemesis,7,9,69,66,3
Storm_(Marvel_Comics),Storm (Marvel Comics),https://en.wikipedia.org/wiki/Storm_(Marvel_Comics),20,16,21,18,3
Super_Rabbit,Super Rabbit,https://en.wikipedia.org/wiki/Super_Rabbit,0,0,297,300,3
Deadpool,Deadpool,https://en.wikipedia.org/wiki/Deadpool,33,19,5,7,2
Wolverine_(Ultimate_Marvel_character),Wolverine (Ultimate Marvel character),https://en.wikipedia.org/wiki/Wolverine_(Ultimate_Marvel_character),6,8,90,92,2
Ares_(Marvel_Comics),Ares (Marvel Comics),https://en.wikipedia.org/wiki/Ares_(Marvel_Comics),5,7,93,94,1
Detroit_Steel,Detroit Steel,https://en.wikipedia.org/wiki/Detroit_Steel,0,1,259,260,1
Digitek_(character),Digitek (character),https://en.wikipedia.org/wiki/Digitek_(character),0,1,260,261,1
Dogpool,Dogpool,https://en.wikipedia.org/wiki/Dogpool,0,1,261,262,1
Enigma_(Marvel_Comics),Enigma (Marvel Comics),https://en.wikipedia.org/wiki/Enigma_(Marvel_Comics),0,1,263,264,1
Ethan_Edwards,Ethan Edwards,https://en.wikipedia.org/wiki/Ethan_Edwards,0,1,264,265,1
Helix_(Marvel_Comics),Helix (Marvel Comics),https://en.wikipedia.org/wiki/Helix_(Marvel_Comics),0,1,270,269,1
Phoenix_Force,Phoenix (Guardians of the Galaxy),https://en.wikipedia.org/wiki/Phoenix_Force,24,17,12,13,1
She-Hulk,She-Hulk,https://en.wikipedia.org/wiki/She-Hulk,29,20,6,5,1
Yo-Yo_Rodriguez,Yo-Yo Rodriguez,https://en.wikipedia.org/wiki/Yo-Yo_Rodriguez,0,0,302,303,1
Misty_Knight,Misty Knight,https://en.wikipedia.org/wiki/Misty_Knight,15,13,31,31,0
